MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD),
hp005,Harry Potter - Gryffindor Shield Torso /  Light Gray Legs /  Black Cape with Stars,Harry Potter,Harry Potter / Sorcerer's Stone,"4702-1,4704-1,4711-1,4712-1,4729-1,4730-1,4733-1,HPG01-1",1,0,,5.81,1.97,
hp007,Ron Weasley - Gryffindor Shield Torso /  Black Cape with Stars,Ron Weasley,Harry Potter / Sorcerer's Stone,"4704-1,4705-1,4706-1,4709-1,4730-1,HPG02-1",1,0,,7.23,2.44,
hp011,Professor Quirinus Quirrell - Yellow Head /  Purple Turban and Torso,Professor Quirinus Quirrell,Harry Potter / Sorcerer's Stone,4702-1,1,0,,20.07,6.78,
hp017,Dobby (Elf) - Tan,Dobby,Harry Potter / Chamber of Secrets,"4731-1,HPG04-1",1,0,,11.93,4.11,
hp018,Lucius Malfoy - Dark Gray Suit Torso /  Dark Gray Legs,Lucius Malfoy,Harry Potter / Chamber of Secrets,"4731-1,HPG01-1",1,0,,12.48,3.26,
hp019,Harry Potter - Dark Red Quidditch Uniform,Harry Potter,Harry Potter / Chamber of Secrets,4726-1,1,0,,8.51,3.31,
hp020,Draco Malfoy - Green Quidditch Uniform,Draco Malfoy,Harry Potter / Chamber of Secrets,4726-1,1,0,,5.86,3.34,
hp021,Madam Rolanda Hooch - Black Outfit /  Yellow Head /  Cape with White Stripes,Madame Rolanda Hooch,Harry Potter / Chamber of Secrets,"4726-1,HPG01-1",1,0,,10.64,3.83,
hp032,Ron Weasley - Black and White Plaid Shirt,Ron Weasley,Harry Potter / Chamber of Secrets,4727-1,1,0,,5.89,2.79,
hp033,Harry Potter - Dark Blue Jacket Torso /  Light Gray Legs,Harry Potter,Harry Potter / Chamber of Secrets,4727-1,1,0,,6.49,2.28,
hp034,Ron Weasley - Blue Sweater /  Black Cape with Stars,Ron Weasley,Harry Potter / Sorcerer's Stone,4722-1,1,0,,8.38,3.26,
hp035,Harry Potter - Hogwarts Torso /  Light Gray Legs /  Black Wizard / Witch Hat /  Black Cape with Stars,Harry Potter,Harry Potter / Sorcerer's Stone,4701-1,1,0,,21.56,3.01,
hp036,Harry Potter - Gryffindor Shield Torso /  Light Gray Legs /  Medium Violet Cape,Harry Potter,Harry Potter / Sorcerer's Stone,"4706-1,4709-1,4721-1",1,0,,12.67,3.51,
hp038,Harry Potter - Sand Green Sweater Torso /  Blue Legs,Harry Potter,Harry Potter / Chamber of Secrets,4720-1,1,0,,12.25,6.85,
hp039,Lucius Malfoy - Black Suit Torso /  Black Legs,Lucius Malfoy,Harry Potter / Chamber of Secrets,4720-1,1,0,,6.62,6.26,
hp045,Sirius Black - Black Hair,Sirius Black,Harry Potter / Prisoner of Azkaban,"4753-1,4756-1",1,0,,16.88,8.19,
hp046,Dementor - Sand Green with Dark Gray Shroud,Dementor,Harry Potter / Prisoner of Azkaban,"10132-1,4753-1,4757-1,4758-1",1,0,,15.55,10.84,
hp047,Stanley (Stan) Shunpike - Knight Bus Conductor Uniform,Stan Shunpike,Harry Potter / Prisoner of Azkaban,4755-1,1,0,,8.55,5.86,
hp056a,Harry Potter - Gryffindor Stripe Torso /  Dark Bluish Gray Legs /  Plain Black Cape,Harry Potter,Harry Potter / Prisoner of Azkaban,4753-1,1,0,,12.15,6.43,
hp059,Harry Potter - Blue Open Shirt Torso /  Tan Legs /  Light Nougat Hands & Head,Harry Potter,Harry Potter / Prisoner of Azkaban,4755-1,1,0,,10.66,5.08,
hp061,Rubeus Hagrid - Reddish Brown Topcoat (Light Nougat Version with Movable Hands),Rubeus Hagrid,Harry Potter / Prisoner of Azkaban,"4754-1,5378-1",1,0,,12.04,9.08,
hp063,Hermione Granger - Gryffindor Stripe Torso with Time Turner Necklace /  Dark Bluish Gray Legs /  Black Cape,Hermione Granger,Harry Potter / Prisoner of Azkaban,4754-1,1,0,,26.18,14.46,
hp069a,Lord Voldemort - Glow In Dark Opaque Head /  Dark Bluish Gray Dementor Style Cape,Lord Voldemort,Harry Potter / Goblet of Fire,4766-1,1,0,,34.67,56.68,
hp071,Peter Pettigrew (Wormtail) - Light Bluish Gray Suit,Peter Pettigrew,Harry Potter / Goblet of Fire,4766-1,1,0,,16.83,13.86,
hp073a,Death Eater (Lucius Malfoy) - Dark Bluish Gray Dementor Style Cape,Death Eater,Harry Potter / Goblet of Fire,4766-1,1,0,,40.4,15.17,
hp074,Harry Potter - Tournament Uniform Paneled Shirt,Harry Potter,Harry Potter / Goblet of Fire,"4766-1,4768-2",1,0,,14.15,8.73,
hp134,Professor Severus Snape - Dark Purple Shirt /  Black Robes /  Printed Legs,Professor Severus Snape,Harry Potter / General,"75953-1,75956-1",1,0,,3.78,2.35,
hp135,Lucian Bole - Quidditch Uniform,Lucian Bole,Harry Potter / Sorcerer's Stone,75956-1,1,0,,4.17,2.61,
hp136,Marcus Flint - Quidditch Uniform,Marcus Flint,Harry Potter / Sorcerer's Stone,75956-1,1,0,,4.26,2.43,
hp137,Oliver Wood - Quidditch Uniform,Oliver Wood,Harry Potter / Sorcerer's Stone,75956-1,1,0,,5.44,2.9,
hp138,Harry Potter - Quidditch Uniform,Harry Potter,Harry Potter / Sorcerer's Stone,75956-1,1,0,,4.75,2.6,
hp139,Hermione Granger - Gryffindor Sweater,Hermione Granger,Harry Potter / General,"75953-1,75954-1,75956-1",1,0,,2.52,1.43,
hp142,Ron Weasley - Dark Tan Sweater,Ron Weasley,Harry Potter / Chamber of Secrets,"40452-1,75953-1,75968-1",1,0,,2.34,1.44,
hp163,Tina Goldstein,Tina Goldstein,Harry Potter / Fantastic Beasts,75952-1,1,0,,3.12,2.29,
hp164,Queenie Goldstein,Queenie Goldstein,Harry Potter / Fantastic Beasts,75952-1,1,0,,3.44,2.41,
hp165,Newt Scamander - Dark Orange Vest,Newt Scamander,Harry Potter / Fantastic Beasts,75952-1,1,0,,4.5,3.03,
hp166,Jacob Kowalski,Jacob Kowalski,Harry Potter / Fantastic Beasts,75952-1,1,0,,2.65,1.96,
hp175,Harry Potter - Dark Blue Open Jacket /  Dark Tan Medium Legs,Harry Potter,Harry Potter / Prisoner of Azkaban,"75945-1,75947-1,75957-1",1,0,,1.87,1.28,
hp176,Harry Potter - Black and Dark Red Uniform /  Medium Legs,Harry Potter,Harry Potter / Goblet of Fire,75946-1,1,0,,4.78,2.71,
hp177,Viktor Krum - Reddish Brown Jacket,Viktor Krum,Harry Potter / Goblet of Fire,75946-1,1,0,,4.75,2.81,
hp178,Fleur Delacour,Fleur Delacour,Harry Potter / Goblet of Fire,75946-1,1,0,,5.2,2.87,
hp179,Cedric Diggory - Black and Yellow Uniform,Cedric Diggory,Harry Potter / Goblet of Fire,75946-1,1,0,,5.42,3.74,
hp184,Harry Potter - Black Suit /  White Bow Tie /  Medium Legs,Harry Potter,Harry Potter / Goblet of Fire,"75948-1,75981-1",1,0,,2.82,1.69,
hp185,Ron Weasley - Reddish Brown Suit /  Shirt with Ruffle,Ron Weasley,Harry Potter / Goblet of Fire,"75948-1,75981-1",1,0,,2.33,1.63,
hp186,Hermione Granger - Pink Dress,Hermione Granger,Harry Potter / Goblet of Fire,"75948-1,75981-1",1,0,,3.81,2.33,
hp187,Fleur Delacour - Dress,Fleur Delacour,Harry Potter / Goblet of Fire,75948-1,1,0,,3.8,3.03,
hp188,Cedric Diggory - Black Suit and Bow Tie,Cedric Diggory,Harry Potter / Goblet of Fire,75948-1,1,0,,4.16,3.28,
hp189,Viktor Krum - Red Uniform,Viktor Krum,Harry Potter / Goblet of Fire,75948-1,1,0,,3.92,2.88,
hp190,Albus Dumbledore - Lavender Robe /  Dark Tan Hat,Albus Dumbledore,Harry Potter / Goblet of Fire,75948-1,1,0,,5.51,4.21,
hp191,Madame Olympe Maxime - White Dress,Madame Olympe Maxime,Harry Potter / Goblet of Fire,75948-1,1,0,,4.43,3.08,
hp192,Stanley (Stan) Shunpike - Knight Bus Conductor Uniform /  Red Band on Hat,Stan Shunpike,Harry Potter / Prisoner of Azkaban,75957-1,1,0,,3.8,2.21,
hp193,Ernie Prang - Olive Green Vest Knit /  Half Bald,Ernie Prang,Harry Potter / Prisoner of Azkaban,75957-1,1,0,,4.22,2.89,
hp215,Vernon Dursley - Medium Nougat Sweater,Vernon Dursley,Harry Potter / Chamber of Secrets,75968-1,1,0,,4.02,2.89,
hp216,Dudley Dursley - Red Sweater,Dudley Dursley,Harry Potter / Chamber of Secrets,75968-1,1,0,,3.71,1.89,
hp217,Petunia Dursley,Petunia Dursley,Harry Potter / Chamber of Secrets,75968-1,1,0,,4.1,2.57,
hp224,Dobby (Elf) - Light Nougat /  Open Mouth Smile,Dobby,Harry Potter / Chamber of Secrets,75968-1,1,0,,6.72,4.18,
hp233,Harry Potter - Dark Red Plaid Flannel Shirt /  Black Short Legs,Harry Potter,Harry Potter / Chamber of Secrets,75968-1,1,0,,2.68,1.7,
hp329,Professor Mad-Eye Moody - Medium Nougat Jacket (Barty Crouch Jr. Transformation),Alastor 'Mad-Eye' Moody,Harry Potter / General,76397-1,1,0,,7.53,5.74,
hp330,Neville Longbottom - Gryffindor Robe Open /  Black Medium Legs,Neville Longbottom,Harry Potter / General,76397-1,1,0,,2.67,2.08,
hp331,Hermione Granger - Gryffindor Robe Clasped /  Sweater /  Shirt and Tie /  Black Medium Legs,Hermione Granger,Harry Potter / General,76397-1,1,0,,2.56,2.33,
hp335,Kingsley Shacklebolt,Kingsley Shacklebolt,Harry Potter / Order of the Phoenix,76408-1,1,0,,5.52,6.36,
hp336,Nymphadora Tonks - Medium Lavender Hair /  Printed Legs,Nymphadora Tonks,Harry Potter / Order of the Phoenix,76408-1,1,0,,9.54,8.01,
hp337,Sirius Black - Dark Brown Hair /  Olive Green Jacket,Sirius Black,Harry Potter / Order of the Phoenix,76408-1,1,0,,8.86,7.41,
hp338,Harry Potter - Dark Blue Open Jacket /  Blue Legs,Harry Potter,Harry Potter / Order of the Phoenix,76408-1,1,0,,2.93,1.48,
hp339,Ron Weasley - Striped Sweater /  Tan Legs,Ron Weasley,Harry Potter / Order of the Phoenix,76408-1,1,0,,3.8,3.83,
hp340,Molly Weasley - Bright Light Orange Outfit,Molly Weasley,Harry Potter / Order of the Phoenix,76408-1,1,0,,5.86,5.36,
hp341,Kreacher (Elf),Kreacher,Harry Potter / Order of the Phoenix,76408-1,1,0,,11.38,10.08,
hp342,Fred Weasley - Tan Striped Shirt,Fred Weasley,Harry Potter / Order of the Phoenix,76408-1,1,0,,5.47,4.76,
hp343,George Weasley - Tan Striped Shirt,George Weasley,Harry Potter / Order of the Phoenix,76408-1,1,0,,5.16,4.62,
hp413,Harry Potter - Triwizard Uniform /  Flippers,Harry Potter,Harry Potter / Goblet of Fire,76420-1,1,0,,4.18,4.52,
hp414,Viktor Krum - Shark /  Dual Sided Head,Viktor Krum,Harry Potter / Goblet of Fire,76420-1,1,0,,5.81,,
hp415,Hermione Granger - Gryffindor Robe Clasped /  Black Medium Legs /  Sleeping / Awake,Hermione Granger,Harry Potter / Goblet of Fire,76420-1,1,0,,2.76,2.2,
hp416,Ron Weasley - Gryffindor Robe Clasped /  Black Medium Legs /  Sleeping / Awake,Ron Weasley,Harry Potter / Goblet of Fire,76420-1,1,0,,2.81,1.31,
hp417,Merperson - Sand Green Body /  Medium Nougat Wavy Hair,Merperson,Harry Potter / Goblet of Fire,76420-1,1,0,,8.27,7.17,
iaj001,Indiana Jones - Dark Brown Jacket /  Reddish Brown Fedora /  Closed Mouth Lopsided Grin,Indiana Jones,Indiana Jones / General,"20004-1,7198-1,7620-1,7621-1,7622-1,7623-1,7624-1,7625-1,7626-1,7627-1,7628-1,7683-1,852504-1,852719-1,promosw005-1",2,0,,12.26,5.5,
iaj004,German Soldier 4,German Soldier,Indiana Jones / Raiders of the Lost Ark,7622-1,1,0,,8.82,6.36,
iaj005,German Soldier 2,German Soldier,Indiana Jones / Raiders of the Lost Ark,7622-1,1,0,,8.74,6.09,
iaj006,German Soldier 3,German Soldier,Indiana Jones / Raiders of the Lost Ark,7622-1,1,0,,9.34,6.86,
iaj012,Mutt Williams,Mutt Williams,Indiana Jones / Kingdom of the Crystal Skull,"7196-1,7624-1,7627-1,7628-1,852719-1",1,0,,5.14,3.34,
iaj014,Irina Spalko,Irina Spalko,Indiana Jones / Kingdom of the Crystal Skull,"7624-1,7627-1,7628-1,852719-1",1,0,,3.94,2.65,
iaj046,Indiana Jones - Dark Brown Jacket /  Black Tie /  Reddish Brown Dual Molded Hat with Hair /  Light Nougat Hands,Indiana Jones,Indiana Jones / Last Crusade,77012-1,1,0,,5.73,9.48,
iaj047,Professor Henry Jones Sr. - Dark Bluish Gray Pith Helmet,Henry Jones Sr.,Indiana Jones / Last Crusade,77012-1,1,0,,4.72,4.19,
iaj048,Fighter Pilot,German Fighter Pilot,Indiana Jones / Last Crusade,77012-1,1,0,,3.95,4.65,
iaj049,Indiana Jones - Dark Brown Jacket /  Reddish Brown Dual Molded Hat with Hair /  Dark Tan Hands,Indiana Jones,Indiana Jones / Raiders of the Lost Ark,77013-1,1,0,,5.94,4.94,
iaj050,Marion Ravenwood - White Tattered Dress,Marion Ravenwood,Indiana Jones / Raiders of the Lost Ark,77013-1,1,0,,3.97,3.77,
iaj051,Sallah,Sallah,Indiana Jones / Raiders of the Lost Ark,77013-1,1,0,,3.34,5.24,
iaj052,Mummy,Mummy,Indiana Jones / Raiders of the Lost Ark,77013-1,1,0,,4.26,3.69,
idea020,The Eleventh Doctor,The Doctor,LEGO Ideas / General,21304-1,1,0,,27.44,20.2,
idea021,The Twelfth Doctor /  Purple Coat,The Doctor,LEGO Ideas / General,21304-1,1,0,,8.75,9.04,
idea022,Clara Oswald,Clara Oswald,LEGO Ideas / General,21304-1,1,0,,13.63,8.96,
idea023,Weeping Angel,Weeping Angel,LEGO Ideas / General,21304-1,1,0,,33.71,35.1,
idea024,Dalek,Dalek,LEGO Ideas / General,21304-1,2,0,,10.43,8.67,
idea107,Creed Bratton,Creed Bratton,LEGO Ideas / General,21336-1,1,0,,3.34,3.58,
idea108,Kevin Malone,Kevin Malone,LEGO Ideas / General,21336-1,1,0,,4.48,4.06,
idea109,Darryl Philbin,Darryl Philbin,LEGO Ideas / General,21336-1,1,0,,4.43,4.07,
idea110,Oscar Martinez,Oscar Martinez,LEGO Ideas / General,21336-1,1,0,,3.14,1.95,
idea111,Pam Beesly,Pam Beesly,LEGO Ideas / General,21336-1,1,0,,4.99,5.11,
idea112,Jim Halpert,Jim Halpert,LEGO Ideas / General,21336-1,1,0,,5.8,4.98,
idea113,Michael Scott,Michael Scott,LEGO Ideas / General,21336-1,1,0,,7.79,5.98,
idea114,Dwight Schrute,Dwight Schrute,LEGO Ideas / General,21336-1,1,0,,8.17,7.03,
idea115,Angela Martin,Angela Martin,LEGO Ideas / General,21336-1,1,0,,3.34,2.73,
idea116,Stanley Hudson,Stanley Hudson,LEGO Ideas / General,21336-1,1,0,,3.85,3.34,
idea117,Kelly Kapoor,Kelly Kapoor,LEGO Ideas / General,21336-1,1,0,,3.7,2.38,
idea118,Ryan Howard,Ryan Howard,LEGO Ideas / General,21336-1,1,0,,3.57,2.86,
idea119,Phyllis Lapin Vance,Phyllis Lapin Vance,LEGO Ideas / General,21336-1,1,0,,3.26,2.39,
idea120,Meredith Palmer,Meredith Palmer,LEGO Ideas / General,21336-1,1,0,,2.87,2,
idea121,Toby Flenderson,Toby Flenderson,LEGO Ideas / General,21336-1,1,0,,3.91,3.15,
idea151,BTS V,V,LEGO Ideas / General,21339-1,1,0,,6.67,,
idea152,BTS Jin,Jin,LEGO Ideas / General,21339-1,1,0,,5.23,5.36,
idea153,BTS Suga,Suga,LEGO Ideas / General,21339-1,1,0,,8.52,15,
idea154,BTS RM,RM,LEGO Ideas / General,21339-1,1,0,,7.1,,
idea155,BTS Jungkook,Jungkook,LEGO Ideas / General,21339-1,1,0,,6.97,11.66,
idea156,BTS Jimin,Jimin,LEGO Ideas / General,21339-1,1,0,,5.84,,
idea157,BTS J-Hope,J-Hope,LEGO Ideas / General,21339-1,1,0,,6.59,,
jbl001,Jacket Blue - Blue Legs /  Red Cap /  Sunglasses,-,Town / Classic Town,"2140-1,6562-1,6581-1,6649-1",1,0,,1.5,1.49,
jbr002,Jacket Brown - Black Legs /  Black Helmet /  Trans-Light Blue Visor,-,Town / Classic Town,6615-1,1,0,,4.5,1.34,
js004,Jack Stone - Gray Jacket /  Blue legs,-,For Juniors / General,"4605-1,4607-1,4622-1",1,0,,0.75,0.37,
js018,Res-Q - Open Faced Helmet without Sunglasses,-,For Juniors / General,4607-1,1,0,,2.71,0.61,
jw019,Dr. Alan Grant - Medium Blue Shirt with Pockets with Blue Buttons /  Tan Fedora,Alan Grant,Jurassic World / Jurassic Park,"75932-1,75936-1",1,0,,7.09,4.96,
jw028,Dr. Ellie Sattler - Bright Pink Shirt /  Hair over Shoulder,Dr. Ellie Sattler,Jurassic World / Jurassic Park,75932-1,1,0,,5.09,4.55,
jw029,Lex Murphy - Medium Lavender Tank Top,Lex Murphy,Jurassic World / Jurassic Park,75932-1,1,0,,3.92,4.1,
jw030,Tim Murphy - Bright Light Blue Shirt,Tim Murphy,Jurassic World / Jurassic Park,75932-1,1,0,,3.8,3.41,
jw048,Owen Grady - Open Neck Shirt,Owen Grady,Jurassic World / General,"122007-1,122223-1,122331-1,122333-1,122403-1,75937-1,75938-1,76945-1,76947-1,76948-1,76949-1",2,0,,1.88,1.44,
jw077,Rainn Delacourt - Dark Blue and White Shirt,Rainn Delacourt,Jurassic World / Dominion,"122224-1,76945-1,76948-1",2,0,,1.87,1.43,
jw078,Maisie Lockwood - Olive Green Jacket /  Black Beanie,Maisie Lockwood,Jurassic World / Dominion,76946-1,1,0,,3.62,2.84,
jw079,Claire Dearing - Dark Turquoise Shirt,Claire Dearing,Jurassic World / Dominion,"76947-1,76948-1,76949-1",1,0,,3.01,2.11,
jw080,Soyona Santos,Soyona Santos,Jurassic World / Dominion,76948-1,1,0,,5.61,5.38,
jw095,Rainn Delacourt - Dark Blue and Dark Red Shirt,Rainn Delacourt,Jurassic World / Dominion,76946-1,1,0,,3.3,2.37,
jw096,Dr. Alan Grant - Blue Shirt with Water Stains /  Dark Tan Fedora,Alan Grant,Jurassic World / Jurassic Park,76956-1,1,0,,5.09,4.76,
jw097,Dr. Ian Malcolm - Partially Open Shirt with Pocket and Water Stains,Ian Malcolm,Jurassic World / Jurassic Park,76956-1,1,0,,6.33,6.78,
jw098,Lex Murphy - Medium Lavender Tank Top with Dirt Stains,Lex Murphy,Jurassic World / Jurassic Park,76956-1,1,0,,4.15,6.71,
jw099,Tim Murphy - Bright Light Blue Shirt with Dirt Stains,Tim Murphy,Jurassic World / Jurassic Park,76956-1,1,0,,3.86,6.22,
lom004,Life on Mars (LoM) Martian - Antares,-,Space / Life on Mars,7314-1,1,0,,31.67,4.06,
mm001,Mars Mission Alien with Marbled Glow In Dark Torso,-,Space / Mars Mission,"5617-1,7644-1,7645-1,7646-1,7647-1,7648-1,7690-1,7691-1,7692-1,7693-1,7694-1,7695-1,7697-1,7699-1",1,0,,2.06,0.88,
mm011,Mars Mission Astronaut with Helmet and Dual Sided Head,-,Space / Mars Mission,"5619-1,7645-1,7646-1",1,0,,2.69,1.94,
nba030,NBA Player /  Number 4 with Dark Gray Legs,-,Sports / Basketball,3431-1,1,0,,1.99,1.92,
nba031,NBA Player /  Number 10 with Blue Legs,-,Sports / Basketball,3431-1,1,0,,5.39,2.67,
nba032,Basketball Street Player /  Light Gray Torso and Dark Blue Legs,-,Sports / Basketball,3431-1,1,0,,10.69,2.12,
nba033,Basketball Street Player /  Tan Torso and Orange Legs,-,Sports / Basketball,3431-1,1,0,,3.49,1.95,
ovr007,Overalls Black with Pocket /  Black Legs /  Red Construction Helmet,-,Town / Classic Town,"6361-1,6541-1,6542-1,6543-1,6631-1,6682-1",1,0,,1.89,2.08,
ow009,D.Va (Hana Song),D.Va,Overwatch / General,75973-1,1,0,,30.49,25.79,
ow010,Reinhardt Wilhelm,Reinhardt,Overwatch / General,75973-1,1,0,,7.96,8.19,
par002,Horse and Palm - Yellow Legs /  Black Ponytail Hair,-,Town / Paradisa,"6404-1,6418-1",1,0,,6.14,3.27,
par024,Jogging Suit - White Legs /  Red Ponytail Hair,-,Town / Paradisa,"1254-1,6418-1",1,0,,6.57,1.71,
par033,Surfboard on Ocean - Blue Legs /  Blue Cap,-,Town / Paradisa,"6418-1,6547-1",1,0,,3.16,1.29,
par054,Blue Flowers - Yellow Legs /  Brown Ponytail Hair,-,Town / Paradisa,6418-1,1,0,,4.7,3.71,
pck003,Jacket Green with 2 Large Pockets - Blue Legs /  Blue Cap /  Stubble,-,Town / Classic Town,6670-1,1,0,,2.49,1.3,
pln160,Plain Red Torso with Red Arms /  Dark Blue Short Legs /  Lopsided Smile (Child),-,Town / City,7687-1,1,0,,1.97,1.44,
pm003,Rock Monster - Meltrox (Trans-Red),Meltrox,Power Miners / General,"8956-1,8961-1",1,0,,8.11,3.54,
pm004,Rock Monster - Glaciator (Trans-Dark Blue),Glaciator,Power Miners / General,"8707-1,8958-1,8961-1,8964-1",1,0,,9.22,3.48,
pm013,Power Miner - Brains /  Goggles,Dr Brains,Power Miners / General,8961-1,1,0,,3,1.52,
pm014,Power Miner - Engineer /  Goggles,Rex,Power Miners / General,"8708-1,8961-1,8962-1",1,0,,3.21,1.45,
post008,Post Office White Envelope and Stripe /  Black Legs /  Red Short Bill Cap /  Gray Beard,-,Town / City / Post Office,7687-1,1,0,,2.25,1.52,
rac082,Red Blizzard,-,Racers / Drome Racers,4593-1,1,0,,2.99,0.67,
rac083,Zero Hurricane,-,Racers / Drome Racers,4593-1,1,0,,2.99,1.02,
rck002,Bandit,Bandit,Rock Raiders / General,"1275-1,3348-1,4920-1,4930-1,4990-1",1,0,,2.92,1.64,
sc082,Ferrari F8 Tributo Driver,-,SPEED CHAMPIONS / General,76895-1,1,0,,2.15,1.5,
sc095,Lamborghini Countach Driver,-,SPEED CHAMPIONS / General,76908-1,1,0,,2.25,1.64,
sc102,James Bond - Black Tuxedo (No Time To Die),James Bond,SPEED CHAMPIONS / General,76911-1,1,0,,3.47,2.72,
sc103,Dominic Toretto,Dominic Toretto,SPEED CHAMPIONS / General,76912-1,1,0,,3.48,3.06,
sc104,Brian O'Conner,Brian O'Conner,SPEED CHAMPIONS / General,76917-1,1,0,,4.55,4.24,
sh010,Poison Ivy /  Hair Over Shoulder,Poison Ivy,Super Heroes / Batman II,"10937-1,6860-1,76035-1",1,0,,11.04,6.35,
sh013,Hulk - Giant /  Dark Tan Pants,Hulk,Super Heroes / The Avengers,6868-1,1,0,,30.65,16.67,
sh014,Captain America - Dark Blue Suit /  Dark Red Hands /  Mask,Captain America,Super Heroes / The Avengers,6865-1,1,0,,9.74,3.02,
sh017,Wolverine - Hair,Wolverine,Super Heroes / X-Men,6866-1,1,0,,25.2,12.78,
sh018,Thor - Starched Fabric Cape /  Dark Blue Legs,Thor,Super Heroes / The Avengers,"30163-1,6868-1,6869-1",2,0,,6.31,3.31,
sh023,Guard,Guard,Super Heroes / Batman II,"10937-1,6864-1",1,0,,4.6,2.56,
sh029,Chitauri General,Chitauri General,Super Heroes / The Avengers,6865-1,1,0,,4.16,1.99,
sh030,Chitauri Foot Soldier,Chitauri,Super Heroes / The Avengers,"6865-1,6869-1",2,0,,4.01,1.95,
sh031,Magneto - Red Outfit,Magneto,Super Heroes / X-Men,6866-1,1,0,,23.55,13.18,
sh032,Deadpool,Deadpool,Super Heroes / X-Men,6866-1,1,0,,52.39,46.6,
sh033,Loki - 4.0cm Height Starched Fabric Cape,Loki,Super Heroes / The Avengers,"6867-1,6868-1,6869-1",2,0,,11.95,7.62,
sh034,Hawkeye - Black and Dark Red Suit /  Medium Nougat Hair,Hawkeye,Super Heroes / The Avengers,"30165-1,6867-1,6868-1",1,0,,7.56,3.16,
sh035,Black Widow - Black Jumpsuit /  Dark Orange Mid-Length Hair /  Printed Legs /  Black Hands,Black Widow,Super Heroes / The Avengers,6869-1,1,0,,16.88,8.08,
sh036,Iron Man - Mark 7 Armor /  Small Helmet Visor /  Foot Repulsors,Iron Man,Super Heroes / The Avengers,6869-1,1,0,,31.24,17.45,
sh038,Spider-Man - Black Web Pattern,Spider-Man,Super Heroes / Ultimate Spider-Man,"10754-1,30302-1,30305-1,30448-1,30451-1,6873-1,76004-1,76005-1,76014-1,76015-1,76016-1,76057-1,76058-1,76059-1",1,0,,3.53,1.61,
sh048,Batman - Black Wings /  White Headband,Batman,Super Heroes / Batman II,10937-1,1,0,,15.09,7.34,
sh057,Dr. Harleen Quinzel,Harley Quinn,Super Heroes / Batman II,10937-1,1,0,,15.39,13.01,
sh058,Scarecrow,Scarecrow,Super Heroes / Batman II,10937-1,1,0,,21.78,21.8,
sh059,Robin - Black Cape and Hood,Robin,Super Heroes / Batman II,10937-1,1,0,,10.29,8.66,
sh060,The Penguin,The Penguin,Super Heroes / Batman II,"10937-1,76035-1",1,0,,5.86,3.78,
sh061,The Joker - Prison Jumpsuit with Belt,The Joker,Super Heroes / Batman II,10937-1,1,0,,10.99,7.52,
sh065,Iron Man - Mark 42 Armor,Iron Man,Super Heroes / Iron Man 3,76006-1,1,0,,18.61,8.05,
sh066,War Machine - Dark Bluish Gray and Silver Armor with Backpack,War Machine,Super Heroes / Iron Man 3,76006-1,1,0,,23.58,13.75,
sh067,Aldrich Killian,Aldrich Killian,Super Heroes / Iron Man 3,76006-1,1,0,,4.27,2.27,
sh068,Pepper Potts - White Suit,Pepper Potts,Super Heroes / Iron Man 3,76007-1,1,0,,16.43,7.66,
sh069,Tony Stark - Black and Dark Bluish Gray Jumpsuit,Tony Stark,Super Heroes / Iron Man 3,76007-1,1,0,,20.59,9.4,
sh070,The Mandarin (Trevor Slattery) - Dark Green Cape,The Mandarin,Super Heroes / Iron Man 3,76007-1,1,0,,11.39,6.15,
sh071,Extremis Soldier,Extremis Soldier,Super Heroes / Iron Man 3,76007-1,1,0,,4.58,2.85,
sh072a,Iron Man - Mark 42 Armor /  White Head /  Foot Repulsors,Iron Man,Super Heroes / Iron Man 3,76007-1,1,0,,16.23,9.34,
sh073,Iron Man - Mark 17 (Heartbreaker) Armor,Iron Man,Super Heroes / Iron Man 3,76008-1,1,0,,27,13.88,
sh074,The Mandarin (Trevor Slattery),The Mandarin,Super Heroes / Iron Man 3,76008-1,1,0,,4.24,2.66,
sh218,Batman - Dark Bluish Gray Suit /  Gold Belt /  Black Hands /  Spongy Cape /  Large Bat Logo,Batman,Super Heroes / Dawn of Justice,"76045-1,76046-1",1,0,,7.68,3.86,
sh220,Superman - Dark Blue Suit /  Tousled Hair /  Red Boots,Superman,Super Heroes / Dawn of Justice,76046-1,1,0,,11.11,6.67,
sh221,Wonder Woman - Dark Red Torso /  Dark Blue Skirt,Wonder Woman,Super Heroes / Dawn of Justice,"76046-1,76087-1",1,0,,14.75,11.13,
sh222,Lex Luthor - Tan Suit,Lex Luthor,Super Heroes / Dawn of Justice,76046-1,1,0,,4.72,2.69,
sh225,Lois Lane - Black Suit,Lois Lane,Super Heroes / Dawn of Justice,76046-1,1,0,,5.95,3.92,
sh244,Robin - Short Legs,Robin,Super Heroes / Mighty Micros / Batman II,76062-1,1,0,,5.28,2.52,
sh245,Bane - Short Legs,Bane,Super Heroes / Mighty Micros / Batman II,76062-1,1,0,,3.4,1.79,
sh267,Ghost Rider /  Johnathon 'Johnny' Blaze - White Head /  Chain Belt,Ghost Rider,Super Heroes / Spider-Man,76058-1,1,0,,17.38,8.69,
